Gene	time-40	time-50	time-60	time-70
YBR092C	-2.565	-2.87	-2.235	-1.6
YBR094W	-0.114999995	-0.35	-0.39	-0.43
YBR096W	-0.985	-0.76	-0.44	-0.12
YBR097W	-0.315	-0.42	0.02000001	0.46
YBR098W	0.21000001	-0.01	-0.080000006	-0.15
YBR110W	0.65999997	0.83	-1.09	-3.01
YBR112C	0.049999997	0.08	0.12	0.16
YBR116C	-0.13499999	-0.06	-0.07	-0.08
YBR118W	-0.44	-0.39	-0.255	-0.12
YBR122C	-0.525	-0.62	-0.49	-0.36
YBR128C	0.095	0.02	-0.13499999	-0.29
YBR130C	-0.005000003	0.13	0.25	0.37
YBR134W	-0.205	-0.12	-0.004999999	0.11
YBR136W	0.009999998	-0.24	-0.205	-0.17
YBR138C	-0.88	-0.85	-0.615	-0.38
YBR140C	-0.39499998	-0.42	-0.235	-0.05
YBR142W	0.625	0.35	0.03999999	-0.27
YBR146W	-0.38	-0.54	-0.595	-0.65
YBR148W	0.18	0.15	0.035000004	-0.08
YBR156C	-0.045	0.06	0.125	0.19
YBR158W	0.81500006	-0.59	-0.96500003	-1.34
YBR160W	0.27499998	0.29	0.015000001	-0.26
YBR161W	-0.09	0.02	0	-0.02
YBR162C	-0.45999998	-0.27	-0.2	-0.13
YBR162W-A	0.55	0.49	0.21000001	-0.07
YBR163W	0.03	0	-0.03	-0.06
YBR164C	0.085	-0.08	-0.19	-0.3
YBR165W	0.01	-0.02	-0.02	-0.02
YBR166C	0.255	0.31	0.07	-0.17
YBR167C	0.015	0.02	-0.13499999	-0.29
YBR168W	-0.185	-0.14	-0.39499998	-0.65
YBR169C	-0.305	-0.4	-0.385	-0.37
YBR170C	0.114999995	0.04	0.005	-0.03
YBR171W	0.5	0.48	0.41	0.34
YBR172C	0.035	0.07	0.195	0.32
YBR173C	-0.08	0	-0.005	-0.01
YBR175W	-0.035	-0.05	-0.045	-0.04
YBR176W	0.114999995	0.24	-0.005000003	-0.25
YBR177C	-0.125	0.11	0.335	0.56
YBR178W	-0.22	-0.04	-0.14999999	-0.26
YBR179C	0.035	-0.03	0.035	0.1
YBR180W	0.040000003	-0.1	-0.135	-0.17
YBR181C	0.155	0.21	0.13499999	0.06
YBR182C	0.435	0.49	0.215	-0.06
YBR183W	-0.95500004	-0.93	-0.99	-1.05
YBR184W	-0.195	0	-0.305	-0.61
YBR185C	-0.745	-0.72	-0.69500005	-0.67
YBR186W	0.065	0.09	-0.08499999	-0.26
YBR187W	-0.105	0	-0.015	-0.03
YBR189W	-0.07	0.02	0.024999999	0.03
YBR190W	0.03	-0.02	-0.255	-0.49
YBR191W	-0.26999998	-0.15	-0.07	0.01
YBR192W	-0.22500001	-0.46	-0.44	-0.42
YBR195C	0.525	0.34	0.265	0.19
YBR196C	-0.68	-0.5	-0.255	-0.01
YBR198C	0.145	-0.02	0.115	0.25
YBR199W	-0.25	-0.24	-0.13499999	-0.03
YBR200W	-0.019999996	-0.5	-0.47	-0.44
YBR201W	-0.05	-0.07	-0.225	-0.38
YBR202W	-0.875	-1.78	-1.65	-1.52
YBR204C	-0.065	-0.19	-0.41	-0.63
YBR206W	0.105000004	0.1	-0.029999997	-0.16
YBR207W	-0.69	-0.83	-0.49	-0.15
YBR208C	-0.305	-0.25	-0.285	-0.32
YBR209W	-0.045	-0.2	0.029999994	0.26
YBR210W	-0.08	0.03	-0.08	-0.19
YBR211C	-0.305	-0.48	-0.275	-0.07
YBR215W	0.06	0.06	-0.045	-0.15
YBR217W	-0.275	-0.07	-0.205	-0.34
YBR218C	-0.11	-0.35	-0.3	-0.25
YBR219C	0.17500001	0.18	0.165	0.15
YBR220C	0	0.09	-0.024999999	-0.14
YBR221C	-0.615	-0.5	-0.34	-0.18
YBR222C	-0.405	-0.02	0.03	0.08
YBR223C	0.18	0.18	-0.034999996	-0.25
YBR224W	0.13	0.02	-0.3	-0.62
YBR225W	0.27	0.2	0.05	-0.1
YBR226C	0.26	0.1	0	-0.1
YBR227C	0.65	0.68	0.335	-0.01
YBR228W	0.105000004	-0.04	-0.17999999	-0.32
YBR231C	0.13	-0.11	-0.305	-0.5
YBR232C	0.145	0	-0.275	-0.55
YBR233W	0.205	0.19	-0.034999996	-0.26
YBR234C	-0.78	-0.76	-0.525	-0.29
YBR237W	0.15	0	-0.175	-0.35
YBR238C	0.029999994	-0.23	-0.030000001	0.17
YBR239C	-0.135	-0.12	-0.055	0.01
YBR240C	-0.32999998	-0.39	-0.69	-0.99
YBR242W	-0.265	-0.08	0.045	0.17
YBR243C	-0.22	0.18	0.425	0.67
YBR244W	0.35000002	0.3	0.050000004	-0.2
YBR245C	0.145	0.08	-0.20500001	-0.49
YBR246W	0.305	0.31	0.185	0.06
YBR247C	1.0450001	0.76	0.53999996	0.32
YBR248C	0.39999998	0.35	0.019999996	-0.31
YBR249C	0.27	0.34	0.31	0.28
YBR250W	-0.07	-0.11	-0.275	-0.44
YBR251W	-0.05	-0.17	-0.27	-0.37
YBR252W	0.34	0.36	0.22	0.08
YBR253W	0.22	0.24	0.034999996	-0.17
YBR254C	-0.07	0	-0.255	-0.51
YBR255W	0.16	0.19	0.06	-0.07
YBR256C	-0.089999996	-0.06	-0.08	-0.1
YBR257W	-0.43	-0.54	-0.23500001	0.07
YBR258C	0.155	0.18	-0.13	-0.44
YBR259W	-0.27	-0.34	-0.235	-0.13
YBR260C	0.055	0.09	0.005000003	-0.08
YBR261C	0.35999998	0.24	-0.005000003	-0.25
YBR262C	-0.155	-0.38	-0.435	-0.49
YBR263W	-0.095	0	0.06	0.12
YBR264C	-0.205	-0.19	-0.07	0.05
YBR265W	-0.34	-0.27	-0.215	-0.16
YBR266C	0.815	0.65	0.45999998	0.27
YBR268W	-0.29500002	-0.26	-0.32999998	-0.4
YBR271W	1.025	0.79	0.55	0.31
YBR273C	0.495	0.32	-0.19	-0.7
YBR275C	0.275	0.44	0.37	0.3
YBR279W	0.035000004	-0.08	-0.29999998	-0.52
YBR280C	-0.3	-0.27	-0.38	-0.49
YBR281C	-0.09	0.37	0.345	0.32
YBR282W	-0.39	-0.35	-0.445	-0.54
YBR283C	-0.51	-0.56	-0.445	-0.33
YBR284W	-0.215	-0.06	-0.385	-0.71
YBR285W	-0.38	-0.6	-0.53000003	-0.46
YBR286W	-0.39499998	-0.2	-0.120000005	-0.04
YBR287W	-0.625	-0.6	-0.46	-0.32
YBR288C	0.004999999	0.08	-0.02	-0.12
YBR289W	0.030000001	0.17	0.09	0.01
YBR290W	0.38	0.4	0.15	-0.1
YBR291C	0.4	0.43	0.6	0.77
YBR294W	0.14	-0.03	-0.03	-0.03
YBR295W	0.17999999	0.26	0.16499999	0.07
YBR296C	-0.034999996	-0.41	-0.495	-0.58
YBR298C	-0.145	-0.35	-0.51	-0.67
YBR300C	0.295	0.01	-0.099999994	-0.21
YBR301W	0.73	0.39	0.08499999	-0.22
YBR302C	-0.285	-0.15	-0.155	-0.16
YCL002C	-0.195	-0.15	-0.21000001	-0.27
YCL003W	-0.19	-0.06	0.034999996	0.13
YCL005W	-0.545	-0.28	-0.07	0.14
YCL006C	-0.445	-0.44	-0.325	-0.21
YCL007C	-0.205	-0.19	0.005000003	0.2
YCL009C	-0.365	-0.29	-0.125	0.04
YCL011C	0.13499999	0.13	0.095	0.06
YCL012W	-0.745	-0.43	0.13499999	0.7
YCL013W	-0.35500002	-0.15	0.40499997	0.96
YCL014W	-0.635	-0.24	0.345	0.93
YCL017C	-0.155	-0.1	-0.04	0.02
YCL019W	0.51	0.44	0.515	0.59
YCL020W	0.695	0.51	0.765	1.02
YCL021W	0.45999998	0.4	0.46499997	0.53
YCL022C	1.29	1.19	0.18000004	-0.83
YCL023C	0.765	0.49	-0.09	-0.67
YCL024W	1.44	1.02	0.065	-0.89
YCL025C	-1.14	-0.81	-0.19500001	0.42
YCL027W	-0.68	-1.03	-1.1800001	-1.33
YCL028W	-0.03	0	0	0
YCL029C	0.53	0.81	0.37	-0.07
YCL030C	-0.805	-0.69	-0.46	-0.23
YCL031C	0.285	0.12	0.03	-0.06
YCL032W	0.035	0.08	0.055	0.03
YCL033C	-0.120000005	-0.01	-0.155	-0.3
YCL034W	-0.48	-0.25	0.040000007	0.33
YCL035C	-0.075	-0.06	-0.19500001	-0.33
YCL036W	-0.24000001	-0.49	-0.10000001	0.29
YCL037C	-0.060000002	-0.1	0.095	0.29
YCL038C	-0.37	-0.63	-0.37	-0.11
YCL039W	-0.17	-0.3	-0.165	-0.03
YCL040W	-1.9549999	-1.9	-1.15	-0.4
YCL041C	-0.38	-0.38	-0.26999998	-0.16
YCL042W	-1.3399999	-1.43	-0.835	-0.24
YCL043C	-0.635	-0.56	-0.295	-0.03
YCL044C	-0.020000003	-0.25	-0.030000001	0.19
YCL045C	-0.405	-0.31	-0.175	-0.04
YCL046W	-0.09	-0.15	0.11	0.37
YCL047C	-0.1	-0.19	-0.155	-0.12
YCL048W	0.024999999	-0.24	-0.505	-0.77
YCL049C	0.32	0.36	0.285	0.21
YCL050C	0.074999996	0.13	0.089999996	0.05
YCL051W	-0.08	-0.09	0.049999997	0.19
YCL052C	0.125	0.12	0.08	0.04
YCL053C	0.765	0.44	0.27	0.1
YCL054W	1.025	0.67	0.3	-0.07
YCL055W	0.034999996	-0.34	-0.42000002	-0.5
YCL056C	-0.21000001	-0.28	-0.15	-0.02
YCL057W	-0.825	-0.69	-0.44	-0.19
YCL058C	0.39499998	0.2	0.040000003	-0.12
YCL059C	1.0350001	0.97	0.615	0.26
YCL060C	1.025	1	0.36	-0.28
YCL061C	0.445	0.3	0.07000001	-0.16
YCL062W	0.055000007	0.37	0.69	1.01
YCL063W	-0.3	-0.1	0.27499998	0.65
YCL064C	-1.04	-0.83	-0.099999994	0.63
YCL065W	-0.63	-0.88	-0.585	-0.29
YCL066W	-0.59	-0.84	-0.565	-0.29
YCL067C	-0.175	-0.11	-0.255	-0.4
YCL068C	0.125	0.09	0.16499999	0.24
YCL069W	0.4	0.31	0.105000004	-0.1
YCL075W	0.29	0.17	-0.20499998	-0.58
YCLX01W	0.645	0.43	0.285	0.14
YCLX02C	0.99	0.7	0.5	0.3
YCLX03C	0	-0.14	-0.060000002	0.02
YCLX04W	-0.18	-0.33	-0.11000001	0.11
YCLX05C	-0.145	-0.03	0.145	0.32
YCLX06C	-0.155	-0.06	-0.13	-0.2
YCLX07W	-0.34	-0.51	-0.68	-0.85
YCLX08C	-0.16499999	-0.08	-0.42499998	-0.77
YCLX09W	-0.895	-0.64	-0.07499999	0.49
YCLX10C	-0.28	-0.23	-0.23	-0.23
YCLX11W	-0.16499999	-0.07	0.08	0.23
YCLX12W	-0.435	-0.24	-0.24	-0.24
YCR001W	0.13	0.14	0.26	0.38
YCR002C	-0.275	-0.01	0.15	0.31
YCR003W	-0.08499999	-0.04	-0.04	-0.04
YCR004C	-0.595	-0.67	-0.565	-0.46
YCR005C	-1.105	-0.26	0.45	1.16
YCR006C	-0.16499999	-0.38	-0.125	0.13
YCR008W	0.2	0.27	0.29500002	0.32
YCR009C	0.155	-0.21	0.19	0.59
YCR010C	0.015000001	-0.31	-0.35	-0.39
YCR011C	-0.65	-0.56	-0.114999995	0.33
YCR012W	-1.81	-1.81	-1.18	-0.55
YCR013C	-1.8399999	-1.87	-1.34	-0.81
YCR014C	-0.06	-0.08	0.065	0.21
YCR015C	-0.28	-0.22	-0.235	-0.25
YCR016W	0.635	0.44	0.235	0.03
YCR017C	-0.375	-0.61	-0.515	-0.42
YCR018C	-0.09	-0.18	-0.96000004	-1.74
YCR019W	0.07	0.15	0.010000005	-0.13
YCR020C	-0.055	0.01	-0.114999995	-0.24
YCR020C-A	-0.16	-0.06	-0.085	-0.11
YCR021C	-0.16	-0.22	-0.435	-0.65
YCR022C	0.29	0.03	-0.055	-0.14
YCR023C	-0.455	-0.12	0	0.12
YCR024C	-0.79	-0.92	-0.41	0.1
YCR024C-A	-1.6700001	-1.71	-1.0350001	-0.36
YCR025C	0.565	0.54	0.24000001	-0.06
YCR026C	0.28	0.43	0.245	0.06
YCR027C	-0.075	-0.08	0.085	0.25
YCR028C	-0.235	-0.35	-0.114999995	0.12
YCR029C	-0.114999995	-0.13	0.17	0.47
YCR029C-A	-0.205	-0.06	-0.04	-0.02
YCR030C	-0.29	-0.21	-0.089999996	0.03
YCR031C	-0.255	-0.15	-0.105000004	-0.06
YCR032W	0.065	-0.22	-0.255	-0.29
YCR033W	-0.034999996	-0.12	-0.014999997	0.09
YCR034W	-0.004999999	0.11	0.27	0.43
YCR035C	0.495	0.41	0.15	-0.11
YCR036W	0.105	0.38	0.325	0.27
YCR037C	-0.049999997	-0.04	0.125	0.29
YCR038C	-0.28	-0.3	-0.15	0
YCR039C	-0.13	-0.13	-0.265	-0.4
YCR040W	-0.865	-1.16	-0.745	-0.33
YCR041W	-0.96	-1.15	-0.78	-0.41
YCR042C	-0.07	-0.37	-0.555	-0.74
YCR043C	-0.32	-0.27	-0.13000001	0.01
YCR044C	-0.70500004	-0.73	-0.41500002	-0.1
YCR045C	-0.125	-0.01	-0.024999999	-0.04
YCR046C	-0.145	-0.12	-0.089999996	-0.06
YCR047C	0.90999997	0.7	0.32999998	-0.04
YCR048W	0.41	0.48	0.5	0.52
YCR049C	0.195	0.26	0.074999996	-0.11
YCR050C	0.13499999	0.14	0.19999999	0.26
YCR051W	0.92	0.87	0.62	0.37
YCR052W	0.625	0.69	0.73	0.77
YCR053W	0.080000006	0.18	0.11	0.04
YCR054C	0.435	0.31	0.29000002	0.27
YCR055C	0.525	0.34	0.215	0.09
YCR056W	0.65	0.47	0.465	0.46
YCR057C	0.56	0.37	0.315	0.26
YCR059C	0.305	0.39	0.32999998	0.27
YCR060W	-0.975	-0.96	-0.225	0.51
YCR061W	-1.35	-1.24	-0.625	-0.01
YCR062W	-0.66499996	-0.7	-0.62	-0.54
YCR063W	-0.115	0	0.055	0.11
YCR064C	-0.625	-0.59	-0.24999999	0.09
YCR065W	0.48999998	0.45	0.33499998	0.22
YCR066W	0.055	-0.23	-0.215	-0.2
YCR067C	-0.24	-0.38	-0.19	0
YCR068W	-0.385	-0.33	-0.22500001	-0.12
YCR069W	-0.835	-0.49	-0.055000007	0.38
YCR070W	-0.49	-0.22	0.21499999	0.65
YCR071C	-0.345	-0.28	-0.09	0.1
YCR072C	0.595	0.12	0.29999998	0.48
YCR073C	0.19999999	0.21	0.04	-0.13
YCR074C	0.065	0.06	-0.17	-0.4
YCR075C	-0.105	0.14	0.175	0.21
YCR077C	0.035	0.02	0.17500001	0.33
YCR079W	-0.16	-0.08	0.085	0.25
YCR080W	0.049999997	-0.03	-0.165	-0.3
YCR081W	0.020000003	-0.16	-0.17	-0.18
YCR082W	-0.1	-0.02	-0.17500001	-0.33
YCR083W	0.285	0.2	-0.024999999	-0.25
YCR084C	-0.099999994	0.01	0.315	0.62
YCR085W	-0.22500001	-0.05	0.050000004	0.15
YCR087W	0.685	0.55	0.095	-0.36
YCR088W	-0.78	-0.73	-0.38500002	-0.04
YCR089W	-0.19	-0.5	-0.195	0.11
YCR090C	0.14500001	0.02	-0.115	-0.25
YCR091W	-0.32999998	-0.52	-0.54999995	-0.58
YCR092C	-0.055	-0.02	-0.17	-0.32
YCR093W	-0.004999999	-0.13	-0.034999996	0.06
YCR094W	0.020000003	0.28	0.255	0.23
YCR095C	0.485	0.36	0.2	0.04
YCR096C	-0.16	-0.17	-0.245	-0.32
YCR098C	-1.72	-1.39	-1.28	-1.17
YCR101C	-0.23	-0.13	-0.3	-0.47
YCR103C	0.425	0.17	-0.024999999	-0.22
YCR105W	0.23	0.06	-0.060000002	-0.18
YCR106W	-0.365	-0.6	-0.375	-0.15
YCR107W	-0.33499998	-0.26	-0.285	-0.31
YCRX12W	0.47	1	0.4	-0.2
YCRX20C	0.07	0.02	-0.105000004	-0.23
YDL001W	0.38	0.26	0.22	0.18
YDL003W	1.93	1.93	0.85499996	-0.22
YDL006W	0.175	0.11	0.06	0.01
YDL014W	0.435	0.38	0.43	0.48
YDL015C	-0.47	-0.48	-0.28	-0.08
YDL016C	-0.145	-0.25	-0.075	0.1
YDL017W	0.62	0.64	0.555	0.47
YDL018C	0.685	1.03	0.45499998	-0.12
YDL020C	0.015000001	-0.25	-0.009999998	0.23
YDL022W	-1.375	-1.51	-0.705	0.1
YDL023C	-1.5550001	-1.65	-0.86	-0.07
YDL024C	-0.5	-0.49	-0.29500002	-0.1
YDL025C	-0.19	-0.2	-0.14500001	-0.09
YDL026W	-0.14500001	-0.15	-0.22	-0.29
YDL027C	-0.055	0.03	-0.11	-0.25
YDL028C	-0.034999996	0.15	0.155	0.16
YDL029W	-0.585	-0.46	-0.22500001	0.01
YDL030W	0.02	-0.07	-0.11	-0.15
YDL031W	0.77	0.53	0.35	0.17
YDL032W	-0.39499998	-0.34	-0.305	-0.27
YDL033C	-0.145	-0.03	-0.07	-0.11
YDL034W	-0.255	-0.36	-0.3	-0.24
YDL035C	-0.08	-0.21	-0.345	-0.48
YDL036C	0.28	0.11	-0.024999999	-0.16
YDL037C	-0.635	-1.53	-0.47	0.59
YDL038C	-0.155	-0.62	-0.004999995	0.61
YDL039C	-0.23500001	-0.86	-0.425	0.01
YDL040C	0.41	0.37	0.21000001	0.05
YDL041W	0.37	0.39	0.205	0.02
YDL042C	0.53	0.47	0.295	0.12
YDL043C	0.18	0.18	0.135	0.09
YDL044C	0.19000001	0.02	-0.095	-0.21
YDL045C	0.005	0	-0.075	-0.15
YDL046W	-0.44	-0.48	-0.305	-0.13
YDL047W	0.635	0.49	0.245	0
YDL048C	0.505	0.46	0.385	0.31
YDL049C	0.515	0.32	0.049999997	-0.22
YDL050C	0.94000006	0.68	0.375	0.07
YDL051W	1.185	1.09	0.58500004	0.08
YDL052C	-0.65999997	-0.42	-0.28	-0.14
YDL053C	0.26	0.2	0.075	-0.05
YDL054C	-0.3	-0.31	-0.21000001	-0.11
YDL055C	0.26500002	0.91	0.735	0.56
YDL056W	-0.72	-0.63	-0.35	-0.07
YDL057W	0.1	0.11	-0.26999998	-0.65
YDL058W	0.39	0.75	0.435	0.12
YDL059C	-0.015000001	0.15	-0.044999994	-0.24
YDL060W	0.70500004	0.5	0.39	0.28
YDL061C	-0.58000004	-0.43	-0.275	-0.12
YDL062W	0.625	0.47	0.375	0.28
YDL063C	0.61	0.48	0.44	0.4
YDL064W	0.46	0.54	0.58500004	0.63
YDL065C	-0.010000005	0.16	0.175	0.19
YDL066W	-0.425	-0.31	-0.015000001	0.28
YDL067C	-0.465	-0.23	-0.21000001	-0.19
YDL069C	0.275	0.37	0.175	-0.02
YDL070W	0.24	0.45	0.48999998	0.53
YDL071C	0.3	0.61	0.165	-0.28
YDL072C	-0.715	-0.26	0.00500001	0.27
YDL073W	-0.155	-0.03	0.044999998	0.12
YDL074C	0.28500003	0.27	0.365	0.46
YDL076C	-0.135	-0.02	0.03	0.08
YDL077C	0.705	0.77	0.505	0.24
YDL078C	-0.215	-0.23	-0.145	-0.06
YDL079C	-0.13	-0.26	-0.22999999	-0.2
YDL080C	-0.1	-0.17	-0.13	-0.09
YDL081C	-0.65	-0.48	-0.355	-0.23
YDL082W	0.23499998	0.21	0.125	0.04
YDL083C	-0.32999998	-0.18	-0.095000006	-0.01
YDL084W	-0.21000001	-0.18	-0.010000005	0.16
YDL085W	-0.225	-0.41	-0.56	-0.71
YDL086W	-0.12	-0.22	-0.145	-0.07
YDL087C	0.055	0.02	-0.060000002	-0.14
YDL088C	0.315	0.25	0.29000002	0.33
YDL089W	0.015000001	-0.04	-0.25	-0.46
YDL090C	0.195	0.38	0.08	-0.22
YDL091C	0.005000001	0.05	-0.095	-0.24
YDL092W	0.70500004	0.68	0.35	0.02
YDL093W	0.425	0.69	0.4	0.11
YDL095W	0.17999999	0.39	0.435	0.48
YDL096C	0.19	0.37	0.4	0.43
YDL097C	0.01	0.02	-0.075	-0.17
YDL100C	-0.015	-0.02	-0.049999997	-0.08
YDL101C	0.71	1.06	0.48999998	-0.08
YDL102W	0.415	0.32	-0.15	-0.62
YDL103C	0.36	0.47	0.06999999	-0.33
YDL105W	0.265	0.15	-0.27499998	-0.7
YDL106C	0.044999998	0.21	-0.010000005	-0.23
YDL107W	-0.16499999	-0.21	-0.5	-0.79
YDL108W	0.07	0.11	0.02	-0.07
YDL109C	-0.2	-0.28	-0.33499998	-0.39
YDL110C	-0.84000003	-0.76	-0.45999998	-0.16
YDL111C	0.64	0.81	0.455	0.1
YDL112W	0.24	0.16	-0.07000001	-0.3
YDL113C	-0.08	0.31	-0.13499999	-0.58
YDL115C	-0.055	-0.05	-0.36	-0.67
YDL116W	0.28	0.23	0.32	0.41
YDL117W	0.43999997	-0.3	-0.445	-0.59
YDL118W	0.42000002	0.38	0.114999995	-0.15
YDL119C	0.41	0.18	0.095000006	0.01
YDL120W	0.19	0.35	0.32999998	0.31
YDL121C	0.465	0.37	0.030000001	-0.31
YDL124W	-0.605	-0.66	-0.38000003	-0.1
YDL126C	-0.495	-0.45	-0.415	-0.38
YDL127W	1.225	0.47	0.075	-0.32
YDL128W	-0.54499996	-0.57	-0.51	-0.45
YDL131W	0.21000001	0.22	0.32	0.42
YDL132W	-0.54499996	-0.59	-0.525	-0.46
YDL133W	-0.21	-0.16	0.005000003	0.17
YDL134C-A	-0.125	-0.19	-0.205	-0.22
YDL135C	0.275	0.47	0.25	0.03
YDL138W	0.08499999	-0.12	-0.275	-0.43
YDL140C	-0.049999997	-0.16	0.08500001	0.33
YDL142C	0.02	0	0.12	0.24
YDL144C	-0.41	-0.45	-0.385	-0.32
YDL145C	0.010000005	0.4	0.25	0.1
YDL146W	-0.475	-0.51	-0.445	-0.38
YDL150W	0.69	0.41	0.19	-0.03
YDL157C	0.58	0.63	0.45999998	0.29
YDL171C	-0.14	0	0.235	0.47
YDL174C	-0.605	-0.48	-0.21499999	0.05
YDL177C	0.16499999	0.12	0.074999996	0.03
YDL180W	-0.66999996	-0.69	-0.31	0.07
YDL183C	-0.055	-0.13	-0.08	-0.03
YDL184C	-0.16000001	-0.02	-0.08	-0.14
YDL193W	0.22	0.23	0.19	0.15
YDL207W	0.25	0.33	0.305	0.28
YDL211C	0.59499997	0.71	0.435	0.16
YDL213C	1.02	0.84	0.45499998	0.07
YDL214C	0.195	-0.06	0.08	0.22
YDL215C	-0.34	-0.35	-0.155	0.04
YDL216C	0.19500001	0.27	0.155	0.04
YDL220C	0.18	-0.01	-0.06	-0.11
YDL221W	0.15	0.07	-0.044999998	-0.16
YDL224C	-0.05	-0.09	-0.14500001	-0.2
YDL225W	0.395	0.25	0.29500002	0.34
YDL226C	0.025	0.11	0.055	0
YDL228C	0.11	0.01	-0.065	-0.14
YDL229W	-0.16	-0.07	-0.015000001	0.04
YDL231C	-0.074999996	-0.21	-0.25	-0.29
YDL232W	-0.155	-0.13	0.060000002	0.25
YDL233W	0.099999994	-0.09	-0.23	-0.37
YDL234C	-0.245	-0.26	0.63	1.52
YDL235C	0.31	0.25	0.04	-0.17
YDL236W	-0.049999997	-0.04	0.099999994	0.24
YDL237W	-0.425	-0.34	-0.265	-0.19
YDL238C	-0.030000001	-0.09	0.145	0.38
YDL240W	-0.48999998	-0.53	0.35500002	1.24
YDL241W	0.765	1.14	-0.68	-2.5
YDL242W	0.034999996	-0.05	-0.245	-0.44
YDL243C	-0.19500001	-0.37	-0.36	-0.35
YDL244W	0.035	0.01	-0.155	-0.32
YDL245C	-0.325	-0.56	-0.485	-0.41
YDL246C	0.089999996	-0.14	-0.185	-0.23
YDL247W	-0.22	-0.52	-0.43	-0.34
YDL248W	-0.005000001	0.06	-0.56	-1.18
YDR001C	0.035	0.08	-0.275	-0.63
